issueDate,section,slot,eventName,slug,url,vuc,vtc,sectionSize,percentileVuc
2025-02-13,For Families,2,Walk in the Forest,valentine-s-day-made-special,https://visitvaughan.ca/calendar/event/the-diane-kashin-family-adventure-walk-in-the-forest-1/,17,19,5,0.6
2025-02-13,For Families,3,The Village at Black Creek,valentine-s-day-made-special,https://blackcreek.ca/events/#event=snowy-days-at-the-village;instance=20250216110000?popup=1&lang=en-US,18,24,5,0.9
2025-02-13,For Families,4,️Outdoor Memorial Park Skating Trail,valentine-s-day-made-special,https://www.townofws.ca/play/parks-and-open-spaces/outdoor-ice-rinks/,14,15,5,0.3
2025-02-13,For Families,5,Stories to Light Up Winter (English or French),valentine-s-day-made-special,https://mcmichael.com/event/stories-to-light-up-winter-bilingual-family-sunday/,7,14,5,0.1
2025-02-13,For Couples,1,Date Night: Race & Play,valentine-s-day-made-special,https://www.k1speed.ca/deals,12,12,5,0.7
2025-02-13,For Couples,2,"Valentine’s Day at Old MillLive music from Thoronot’s best band, Jay Vazquez and Groove Marmalade.Grab your seats",valentine-s-day-made-special,https://www.oldmilltoronto.com/event/valentines-day-dance-party-with-jay-vazquez-groove-marmalade/,2,3,5,0.1
2025-02-13,For Couples,3,2025 Toronto I❤️BEER & Taco FestivalThe second annual Toronto I❤︎BEER & Taco Festival.,valentine-s-day-made-special,https://allevents.in/toronto/2025-toronto-ibeer-and-taco-festival/200027729465258,10,12,5,0.5
2025-02-13,For Couples,3,Spa Day - Packages for TwoRelax together with a rejuvenating couples massage session.,valentine-s-day-made-special,https://www.santehealingspas.com/spa-deals-thornhill,15,17,5,0.9
2025-02-13,For Couples,5,️Valentine’s Concert at Arcadian LoftA Romantic Valentine's Day Candlelit Concert.Book your tickets,valentine-s-day-made-special,https://www.eventbrite.ca/e/the-golden-sessions-valentines-concert-at-arcadian-loft-tickets-1224967002279?aff=ebdssbdestsearch,8,10,5,0.3
2025-02-20,For Families,1,Putting Edge Glow-in-the-Dark Mini Golf,vaughan-your-plans-in-2-minutes,https://www.puttingedge.com/locations/vaughan/,4,4,4,0.125
2025-02-20,For Families,2,Family Bowling at Splitsville Entertainment,vaughan-your-plans-in-2-minutes,https://www.splitsville.ca/woodbridge-bowling,31,41,4,0.875
2025-02-20,For Families,3,Family Experiences at Kortright Survival Skills,vaughan-your-plans-in-2-minutes,https://childslife.ca/event/family-experiences-at-kortright-survival-skills/2025-02-22/,8,8,4,0.375
2025-02-20,For Families,4,Vaughan Toy and Nostalgia Show Explore vintage toys and collectibles. Check this Out,vaughan-your-plans-in-2-minutes,https://visitvaughan.ca/calendar/event/vaughan-toy-and-nostalgia-show-1/,29,31,4,0.625
2025-02-20,For Couples,1,Exclusive Event! Sip and Savour,vaughan-your-plans-in-2-minutes,https://thechefupstairs.com/products/vaughan-exclusive-event-sip-and-savour-a-mixology-and-cooking-experience-caribbean-escape-cost-is-per-pair?start=2025-02-01T00%3A00&select=2025-02-26T18%3A00,17,19,5,0.8
2025-02-20,For Couples,2,‍♀️Want to climb together?,vaughan-your-plans-in-2-minutes,https://www.steelpeakclimbing.com/adultprograms,6,8,5,0.3
2025-02-20,For Couples,3,Nicole Zuraitis @ Draco at Marriott Experience the electrifying artistry of GRAMMY® Award-winning jazz vocalist.,vaughan-your-plans-in-2-minutes,https://jazzlicious.ca/perfomance/nicole-zuraitis-draco-toronto-marriott-markham/,10,13,5,0.5
2025-02-20,For Couples,4,️ Paint & Sip Studio What do you like painting - Rainy Day Shroom or Monet’s Water Lilies?,vaughan-your-plans-in-2-minutes,https://www.pinotspalette.com/woodbridge,4,8,5,0.1
2025-02-20,For Couples,5,Candlelight: A Tribute to Coldplay Multi-sensory musical experience. Book your tickets,vaughan-your-plans-in-2-minutes,https://feverup.com/m/147910,17,20,5,0.8
2025-02-20,For Golden Age Readers,1,The Aging Well Club Engage with peers in lively discussions and activities.,vaughan-your-plans-in-2-minutes,https://www.eventbrite.ca/e/the-aging-well-club-registration-541771331637,7,8,5,0.5
2025-02-20,For Golden Age Readers,2,Jigsaw Puzzle Tournament,vaughan-your-plans-in-2-minutes,https://www.vaughanpl.info/programs/view/3789,3,3,5,0.1
2025-02-20,For Golden Age Readers,3,️ Visit the Therapy Dogs,vaughan-your-plans-in-2-minutes,https://www.vaughanpl.info/programs/view/2397,10,12,5,0.7
2025-02-20,For Golden Age Readers,4,Paint & Sip Studio What do you like painting - Rainy Day Shroom or Monet’s Water Lilies?,vaughan-your-plans-in-2-minutes,https://www.pinotspalette.com/woodbridge,4,8,5,0.3
2025-02-20,For Golden Age Readers,5,️ Public Tours at McMichael,vaughan-your-plans-in-2-minutes,https://mcmichael.com/event/public-tours-schedule/,15,16,5,0.9
2025-03-06,For Families,1,"Maple Syrup Festival at Kortright Experience maple syrup tastings, demonstrations, wagon rides, and activities. Explore More",your-weekend-fun-plan-is-here,https://trca.ca/maple-syrup-festival-at-kortright/,107,133,4,0.875
2025-03-06,For Families,2,Cineplex Cinemas Vaughan - Paddington,your-weekend-fun-plan-is-here,https://www.cineplex.com/movie/paddington-in-peru?ic=cpx_tdp-moviegrid-en,14,17,4,0.375
2025-03-06,For Families,3,SpringFest TO (Indoor Carnival & Amusement Park),your-weekend-fun-plan-is-here,https://springfestto.ca/,72,92,4,0.625
2025-03-06,For Families,4,"McMichael Canadian Art Collection - March Break Camp Experience March Break Camp with art workshops, outdoor activities, and creative fun! Learn More",your-weekend-fun-plan-is-here,https://mcmichael.com/event/artventure-march-break-camp-2025/,10,13,4,0.125
2025-03-06,For Couples,1,Mystery Billiards,your-weekend-fun-plan-is-here,https://mainmenus.com/vaughan-on-restaurants/bar-food-cuisine/mystery-billiards/,44,55,5,0.7
2025-03-06,For Couples,2,️ SimHub Race Lounge,your-weekend-fun-plan-is-here,https://simhubrl.ca/?srsltid=AfmBOooq7c4oRmb6ITEKZkHHMb87S3YwEiQ6ulvEiwBLimcXoQurnjCd,15,17,5,0.2
2025-03-06,For Couples,3,️ Santé Healing Spa & Salt Caves,your-weekend-fun-plan-is-here,https://www.santehealingspas.com/spa-services-thornhill,18,19,5,0.5
2025-03-06,For Couples,4,DJ Mega Jey Live Direct From NYC Dance all night to electrifying beats from NYC’s finest!,your-weekend-fun-plan-is-here,https://www.eventbrite.com/e/dj-mega-jey-live-direct-from-nyc-tickets-1136348080699,15,16,5,0.2
2025-03-06,For Couples,5,"Wine & Cheese Tasting Sip, swirl, and savor a romantic wine-tasting experience together! Book your tickets",your-weekend-fun-plan-is-here,https://www.magnotta.com/tour.aspx,91,107,5,0.9
2025-03-06,For Golden Age Readers,2,Paint Workshop,your-weekend-fun-plan-is-here,https://www.eventbrite.ca/e/paint-workshop-tickets-1261647705249?aff=ebdssbdestsearch,10,11,4,0.375
2025-03-06,For Golden Age Readers,3,Jazzy Pop & Gospel Night - Free Entry,your-weekend-fun-plan-is-here,https://www.eventbrite.ca/e/jazzy-pop-gospel-night-free-entry-tickets-1256125317639?aff=ebdssbdestsearch,8,10,4,0.125
2025-03-06,For Golden Age Readers,4,️‍♀️ Group Fitness For Seniors,your-weekend-fun-plan-is-here,https://vaughan.perfectmind.com/25076/Clients/BookMe4BookingPages/BookingCoursesPage?calendarId=3db79b0c-f37e-4fad-9d4d-19952befd915&widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False,31,39,4,0.875
2025-03-06,For Golden Age Readers,5,Classic Movie Matinee,your-weekend-fun-plan-is-here,https://www.vaughanpl.info/programs/view/832,15,16,4,0.625
2025-03-27,For Families,1,️ Paint Nite Colorful memories with family and brushes! Explore More,your-3-minute-plan-for-fun,https://www.eventbrite.ca/e/paint-nite-brand-creative-events-tickets-1084792356139?aff=ebdssbdestsearch&keep_tld=1,33,41,4,0.875
2025-03-27,For Families,2,Orchestra (Markham),your-3-minute-plan-for-fun,https://ksorchestra.ca/events/gods-and-griffons/,12,12,4,0.125
2025-03-27,For Families,3,Create Your Own Cartoon (Markham),your-3-minute-plan-for-fun,https://markham.bibliocommons.com/events/67a26def8fc0a32800192aa6?_gl=1*vacun8*_ga*MTk3MDA1NjQwMS4xNzQyOTI2NTY3*_ga_9E698LRF80*MTc0MjkyNjU2Ni4xLjAuMTc0MjkyNjU2Ni4wLjAuMA..*_ga_G99DMMNG39*MTc0MjkyNjU2Ni4xLjAuMTc0MjkyNjU2OS4wLjAuMA..,18,22,4,0.375
2025-03-27,For Families,5,Putting Edge,your-3-minute-plan-for-fun,https://www.puttingedge.com/locations/vaughan/,23,26,4,0.625
2025-04-03,For Families,1,"Dance & Laughs Move, laugh, snack—ultimate party fun for kids! Explore More",this-weekend-s-local-picks,https://www.eventbrite.ca/e/dance-and-laughes-tickets-1271766992309?aff=ebdssbdestsearch&keep_tld=1,37,40,5,0.7
2025-04-03,For Families,2,Maple Lions 52nd Annual Pancake Fest,this-weekend-s-local-picks,https://www.heretotheremarketevents.com/maplepancakefestival,33,42,5,0.5
2025-04-03,For Families,3,Family Drop-In Activities,this-weekend-s-local-picks,https://rhpl.bibliocommons.com/events/678ad012c4569f936ccb20ac,44,53,5,0.9
2025-04-03,For Families,4,"Maple Syrup Festival at Kortright (Last Week - Don’t Miss Out) Explore, hike, and discover nature’s beauty at Kortright! Learn More",this-weekend-s-local-picks,https://trca.ca/activities/maple-syrup-festival/?gad_source=1&gclid=Cj0KCQjwtJ6_BhDWARIsAGanmKexIPEipxxDQ5Wlepn3I2Qx4mdGoauyoDCKUDdeSPJ85aQQB7QAMIUaAmz3EALw_wcB,23,25,5,0.1
2025-04-03,For Families,5,Rock Climbing,this-weekend-s-local-picks,https://www.steelpeakclimbing.com/firstvisit,24,27,5,0.3
2025-04-03,For Golden Age Readers,1,Chair Yoga,this-weekend-s-local-picks,https://markham.bibliocommons.com/events/67bce83abe64b93600e71292,28,34,5,0.9
2025-04-03,For Golden Age Readers,2,Pottery Workshop,this-weekend-s-local-picks,https://markham.bibliocommons.com/events/67b4dc7d6021a51d62f3b843,18,20,5,0.7
2025-04-03,For Golden Age Readers,3,‍♂️ Yoga & Mindfulness,this-weekend-s-local-picks,https://markham.bibliocommons.com/events/67b88fa56021a51d62f433b6,12,13,5,0.5
2025-04-03,For Golden Age Readers,4,"Wellness Wednesdays: Book SocialStay artistic, stay social, stay happy—Vaughan seniors shine bright!",this-weekend-s-local-picks,https://rhpl.bibliocommons.com/events/6791699959163a2f003b53be,11,14,5,0.3
2025-04-03,For Golden Age Readers,5,️ English Conversation Circle,this-weekend-s-local-picks,https://rhpl.bibliocommons.com/events/6794e46acb66923d003d0389,1,1,5,0.1
2025-04-10,For Couples,1,️ Romantic Candle Making With Wine,your-plans-our-picks-in-3-minutes,https://www.eventbrite.ca/e/candles-charcuterie-and-wine-tickets-1258046634349?aff=ebdssbdestsearch,5,6,5,0.5
2025-04-10,For Couples,2,Dancehall: Spanglish Nights &quot;DEMBOW VS DANCEHALL EDITION&quot;,your-plans-our-picks-in-3-minutes,https://www.eventbrite.ca/e/spanglish-nights-dembow-vs-dancehall-edition-tickets-1296350060929?aff=ebdssbdestsearch,3,7,5,0.2
2025-04-10,For Couples,3,Ballroom & Latin Mix Semiprivate Class Spice up Mondays with Latin and Ballroom dance fun! Book your tickets,your-plans-our-picks-in-3-minutes,https://www.eventbrite.ca/e/ballroom-and-latin-mix-semiprivate-class-every-monday-645-pm-at-hwy-7404-tickets-1281066778219?aff=ebdssbdestsearch,3,5,5,0.2
2025-04-10,For Couples,4,"City Love Scavenger Hunt Clues unfold, love grows, laughter sparks, adventure awaits!",your-plans-our-picks-in-3-minutes,https://www.eventbrite.ca/e/city-love-scavenger-hunt-date-night-for-couples-richmond-hill-area-tickets-909043281927?aff=ebdssbdestsearch&keep_tld=1,7,13,5,0.7
2025-04-10,For Couples,5,️ Race Lounge,your-plans-our-picks-in-3-minutes,https://simhubrl.ca/?srsltid=AfmBOooq7c4oRmb6ITEKZkHHMb87S3YwEiQ6ulvEiwBLimcXoQurnjCd,12,16,5,0.9
2025-04-10,For Golden Age Readers,2,️ Writing Circle,your-plans-our-picks-in-3-minutes,https://rhpl.bibliocommons.com/events/678ea7ab6021a51d62eefa10,2,2,4,0.125
2025-04-10,For Golden Age Readers,3,‍♂️ Yoga & Mindfulness,your-plans-our-picks-in-3-minutes,https://markham.bibliocommons.com/events/67b88fa56021a51d62f433b7,13,15,4,0.375
2025-04-10,For Golden Age Readers,4,Aging Well Club,your-plans-our-picks-in-3-minutes,https://www.vaughanpl.info/programs/view/3346,31,31,4,0.875
2025-04-10,For Golden Age Readers,5,‍🦺 Visit Therapy Dogs,your-plans-our-picks-in-3-minutes,https://www.vaughanpl.info/programs/view/2397,21,23,4,0.625
2025-04-17,For Families,1,"Easter at Kortright Egg hunts, forest trails, bunny fun, laughter all day! Explore More",top-vaughan-picks-april-17-23,https://trca.ca/event/easter-at-kortright/,34,38,5,0.9
2025-04-17,For Families,2,"‍♂️ Family Sunday, Spring Moves & Rhythms",top-vaughan-picks-april-17-23,https://mcmichael.com/event/family-sunday-spring-moves-rythms/,12,14,5,0.4
2025-04-17,For Families,3,"Hop into Spring at Easter Eggtravaganza! Explore, hike, and discover nature’s beauty at Kortright! Learn More",top-vaughan-picks-april-17-23,https://kortright.org/whats-on/calendar/#event=easter-at-kortright;instance=20250420100000?popup=1&lang=en-US,11,17,5,0.1
2025-04-17,For Families,4,Easter HopFest,top-vaughan-picks-april-17-23,https://visitvaughan.ca/calendar/event/easter-hopfest-2/,28,33,5,0.7
2025-04-17,For Families,5,‍☠️ #1 Ranked Escape Room - Vaughan,top-vaughan-picks-april-17-23,https://www.theescapetheory.ca/,12,16,5,0.4
2025-04-17,For Golden Age Readers,1,️‍🩹 Health & Wellness - Diabetes & Nutrition,top-vaughan-picks-april-17-23,https://markham.bibliocommons.com/events/67d09f1e07b6a728000ac5f8,4,4,4,0.125
2025-04-17,For Golden Age Readers,2,️ Aging Well Club,top-vaughan-picks-april-17-23,https://www.eventbrite.ca/e/the-aging-well-club-father-e-bulfon-community-centre-registration-541771331637,27,30,4,0.875
2025-04-17,For Golden Age Readers,3,‍♂️ Yoga For Older Adults,top-vaughan-picks-april-17-23,https://markham.bibliocommons.com/events/67bce8efbe64b93600e712b6,14,18,4,0.625
2025-04-17,For Golden Age Readers,5,"Sewing Workshop Stitch by stitch, create joy in every thread. Learn More",top-vaughan-picks-april-17-23,https://markham.bibliocommons.com/events/67b8b0828fc0a328001be4a6,12,14,4,0.375
2025-04-24,For Golden Age Readers,1,‍♂️ Practice Joy with Laughter Yoga,your-3-can-t-skip-events-this-week,https://markham.bibliocommons.com/events/67b88fa8cb66923d00416da0,10,11,4,0.625
2025-04-24,For Golden Age Readers,2,Book Club Discussion - The Elements of Marie Curie,your-3-can-t-skip-events-this-week,https://markham.bibliocommons.com/events/67508095780c53e63c6de133,5,5,4,0.125
2025-04-24,For Golden Age Readers,3,‍♂️‍➡️ Overcoming Back Pain,your-3-can-t-skip-events-this-week,https://markham.bibliocommons.com/events/67b88fb18fc0a328001bdf00,10,11,4,0.625
2025-04-24,For Golden Age Readers,5,Yoga for Older Adults,your-3-can-t-skip-events-this-week,https://markham.bibliocommons.com/events/67bce8efbe64b93600e712b7,10,11,4,0.625
2025-05-01,For Families,1,"‍👦 Mums & Daughters Night (Ages 10 & Up) Moms, daughters, laughter, bonding—Markham night to remember! Learn More",plans-for-the-week-start-here,https://www.eventbrite.ca/e/mums-and-daughters-night-tickets-1265902581699?aff=ebdssbdestsearch,16,21,5,0.4
2025-05-01,For Families,2,‍👩‍👧‍👦 Family Drop-In Activities - Stories & Crafts (Ages 2-5),plans-for-the-week-start-here,https://rhpl.bibliocommons.com/events/67e6a75d7374ee901dd81950,20,20,5,0.9
2025-05-01,For Families,3,"️ In-Person Acrylic Painting Studio (All Ages) Paint boldly with Sookrah—brushstrokes, colour, creativity unleashed! Explore More",plans-for-the-week-start-here,https://mcmichael.com/event/in-person-acrylic-painting-studio-with-andrew-cheddie-sookrah/,17,18,5,0.7
2025-05-01,For Families,4,Saturday Art Classes for Kids (Ages 5-12),plans-for-the-week-start-here,https://mcmichael.com/event/saturday-art-classes-2024-2025/,7,7,5,0.1
2025-05-01,For Families,5,Rock Climbing (Ages 6 & Up),plans-for-the-week-start-here,https://www.steelpeakclimbing.com/firstvisit,16,17,5,0.4
2025-05-01,For Couples,1,Pottery Workshop,plans-for-the-week-start-here,https://www.eventbrite.com/e/pottery-workshops-at-25person-multiple-dates-please-read-description-tickets-1297754020209?aff=ebdssbdestsearch,20,22,4,0.875
2025-05-01,For Couples,2,Beats Clash Night,plans-for-the-week-start-here,https://www.eventbrite.com/e/hiphop-vs-dancehall-may-2nd-toop-lounge-tickets-1261537595909?aff=ebdssbdestsearch,7,7,4,0.125
2025-05-01,For Couples,3,Toronto Comedy Show,plans-for-the-week-start-here,https://www.eventbrite.com/e/toronto-comedy-all-stars-feat-keith-carey-anna-valenzuela-tickets-1331991475359?aff=ebdssbdestsearch,8,9,4,0.375
2025-05-01,For Couples,5,"Ballroom and Latin mix semiprivate classMovie Night: Popcorn, Friends, Films, and Fun!",plans-for-the-week-start-here,https://www.eventbrite.com/e/ballroom-and-latin-mix-semiprivate-class-every-monday-645-pm-at-hwy-7404-tickets-1281109475929?aff=ebdssbdestsearch&keep_tld=1,11,11,4,0.625
2025-05-01,For Golden Age Readers,1,Healthy Eating for Cholesterol,plans-for-the-week-start-here,https://markham.bibliocommons.com/events/67d09fc407b6a728000ac63c,4,4,5,0.6
2025-05-01,For Golden Age Readers,2,Chair Yoga,plans-for-the-week-start-here,https://markham.bibliocommons.com/events/67bce83abe64b93600e71296,12,12,5,0.9
2025-05-01,For Golden Age Readers,3,Decoding Financial Ratios: What They Mean for Your Business,plans-for-the-week-start-here,https://markham.bibliocommons.com/events/675a01fa17cee0280055f705,1,1,5,0.1
2025-05-01,For Golden Age Readers,4,"Practice Joy with Laughter Yoga Laugh, breathe, stretch—uplift your spirit with joy!",plans-for-the-week-start-here,https://markham.bibliocommons.com/events/67b88fa8cb66923d00416da1,4,4,5,0.6
2025-05-01,For Golden Age Readers,5,️ The Stories of Our Lives with Hyacinthe Miller,plans-for-the-week-start-here,https://markham.bibliocommons.com/events/67e474af2971a34a250d2778,3,5,5,0.3
2025-05-08,For Families,1,The Mom Market x Promenade Mall The best of York Region’s makers & creators - just in time for Mother’s Day! Explore More,vaughan-s-mother-s-day-picks-may-8-14,https://www.facebook.com/events/1117760190022084/,41,49,5,0.9
2025-05-08,For Families,2,Mother's Day & Family Experiences at Kortright,vaughan-s-mother-s-day-picks-may-8-14,https://kortright.org/whats-on/calendar/#event=mothers-day-at-kortright;instance=20250511100000?popup=1&lang=en-US,27,35,5,0.7
2025-05-08,For Families,3,Needle Felt a Rolling Hills Painting Workshop,vaughan-s-mother-s-day-picks-may-8-14,https://blackcreek.ca/events/#event=needle-felt-a-rolling-hills-painting-workshop;instance=20250510130000,11,12,5,0.5
2025-05-08,For Families,4,Canada’s Wonderland Opening!,vaughan-s-mother-s-day-picks-may-8-14,https://www.canadaswonderland.com/events/opening-day,5,6,5,0.1
2025-05-08,For Families,5,"Create a Puppet Show Kids craft puppets, then perform their own show! Learn More",vaughan-s-mother-s-day-picks-may-8-14,https://markham.bibliocommons.com/events/67b54cabcb66923d00411244,9,11,5,0.3
2025-05-08,For Couples,1,"Salsa/bachata latin, semiprivate dance class",vaughan-s-mother-s-day-picks-may-8-14,https://www.eventbrite.com/e/salsabachata-latin-semiprivate-dance-class-tickets-837435781967?aff=ebdssbdestsearch&keep_tld=1,24,28,5,0.9
2025-05-08,For Couples,2,"Wine & Painting Sip, paint, laugh—create your masterpiece tonight! Look Here",vaughan-s-mother-s-day-picks-may-8-14,https://www.eventbrite.ca/e/paint-nite-brand-creative-events-tickets-1330587867129?aff=ebdssbdestsearch&keep_tld=1,8,11,5,0.1
2025-05-08,For Couples,3,"️ An Exclusive Culinary Experience Savor flavors, stories, and laughs with Eden Grinshpan!",vaughan-s-mother-s-day-picks-may-8-14,https://www.eventbrite.com/e/eden-eats-an-exclusive-culinary-experience-with-eden-grinshpan-tickets-1299276985439?aff=ebdssbdestsearch&keep_tld=1,18,20,5,0.7
2025-05-08,For Couples,4,‍♂️ Trivia Night,vaughan-s-mother-s-day-picks-may-8-14,https://www.eventbrite.com/e/question-everything-trivia-night-insomnia-restaurant-tickets-1116092575939?aff=ebdssbdestsearch&keep_tld=1,13,14,5,0.3
2025-05-08,For Couples,5,Shut Up & Dance - Toronto,vaughan-s-mother-s-day-picks-may-8-14,https://www.eventbrite.ca/e/shut-up-dance-toronto-19-tickets-1280363574919?aff=ebdssbdestsearch&keep_tld=1,14,15,5,0.5
2025-05-08,For Golden Age Readers,1,‍♀️ Artful Yoga,vaughan-s-mother-s-day-picks-may-8-14,https://mcmichael.com/event/artful-yoga/,26,29,4,0.875
2025-05-08,For Golden Age Readers,2,Adult Workshop: Natural Connections,vaughan-s-mother-s-day-picks-may-8-14,https://kortright.org/whats-on/calendar/#event=adult-workshop-natural-connections-helping-others-develop-a-lifelong-relationship-with-nature;instance=20250510093000?popup=1&lang=en-US,8,8,4,0.625
2025-05-08,For Golden Age Readers,4,Interactive Program For Those With Alzeimer’s,vaughan-s-mother-s-day-picks-may-8-14,https://tickets.mcmichael.com/Selection.aspx?item=739&sch=27101,2,2,4,0.125
