Row,Day,Event,slice,model_pred,margin,vocab_hits,dupe
225,2,"Risk Assessment and Management Training — Vaughan, ON | 1 Day Workshop",gate,For Golden Age Readers,0.033,6,
226,2,Indy Weekend on Main Street Unionville,train,For Couples,0.067,11,
227,2,Savannah Sultry Swamp Run,train,For Families,0.01,1,
228,2,Happy Hours Trivia Night @ Gametime Social,train,For Couples,0.02,6,
229,2,Vaughan Asian Festival 2026,train,For Golden Age Readers,0.017,16,
230,2,Italian Festival,train,For Families,0.035,16,
231,2,Beyond the Lease,gate,For Families,0.211,7,
232,2,Mindful Moments: Pipe Cleaner Flowers (For Adults),train,For Couples,0.004,5,
233,2,"Join us at the Toronto Fancon! TGC&Sports Collectibles,Cosplay,Kpop,fashion",gate,For Families,0.814,108,
234,2,Working at Heights Vaughan,train,For Golden Age Readers,0.085,5,
235,2,"360 Collector Expo – World Cup Edition | Cards, Comics & Collectibles Show",gate,For Families,0.16,12,
236,2,Weaving Apprenticeships,train,For Golden Age Readers,0.047,15,
237,2,ISAIAH.... By Father Ho Lung & Friends,train,For Golden Age Readers,0.056,2,
238,2,Sacrament Service,train,For Golden Age Readers,0.02,0,
239,2,"Botox, Blooms and Bubbly",train,For Couples,0.018,3,
240,2,STRICTLY VIBES,gate,For Couples,0.139,12,
241,2,PEO Willowdale-Thornhill: Engineering Integrity Technical Seminar,gate,For Golden Age Readers,0.245,4,
242,2,ECOSISTEMAS DE EXITO,train,For Families,0.03,1,
243,2,BIAYR Dragon Boating,train,For Couples,0.015,6,
244,2,The Lotus Hope Impact Awards,train,For Couples,0.007,6,
245,2,Thursday Nights at the Bandstand – Cleopatra,gate,For Couples,0.029,3,
246,2,CCAGA Annual Charity Golf Tournament,train,For Couples,0.027,9,
247,2,Introduction to Renting and Tenant Rights,gate,For Golden Age Readers,0.435,25,
248,2,Nazarene Community Network Annual Picnic,gate,For Families,0.624,18,
249,2,Multicultural & Diversity Festival,train,For Golden Age Readers,0.103,9,
250,2,Dive into Reading,train,For Golden Age Readers,0.058,13,
251,2,"Essential Management Skills Training — Vaughan, ON | 1 Day Workshop",gate,For Golden Age Readers,0.038,8,
252,2,Create for Your Business: Makerspace Session with GPL,gate,For Golden Age Readers,0.361,8,PAIR
253,2,Freedom Fest,train,For Couples,0.067,3,
254,2,Virtual ESL Café,gate,For Golden Age Readers,0.1,12,
255,2,"Effective Vendor Management Training — Vaughan, ON | 1 Day Workshop",train,For Golden Age Readers,0.005,8,
256,2,"Wedbiz Society Socials Cocktails & Conversations :""The Prelude""",train,For Couples,0.019,4,
257,2,Ballet Night 2026,train,For Golden Age Readers,0.059,5,
258,2,Making Your Money Last in Retirement,gate,For Golden Age Readers,0.456,9,
259,2,The Gathered Few Presents: The Sacred Places,gate,For Golden Age Readers,0.144,2,
260,2,JR Engineering (June 29-July 3:AM),train,For Families,0.036,5,
261,2,Beauty Workshop: Everyday Glam Beauty Class,gate,For Golden Age Readers,0.594,11,
262,2,Be the Light: Clay Lamp Making Experience,train,For Families,0.041,15,
263,2,Aurora Oak Ridges Richmond Hill PLA BBQ,gate,For Couples,0.056,7,PAIR
264,2,Catchball In The Park For Women (Thornhill Woods),train,For Couples,0.057,21,
265,2,Writers' Room,train,For Golden Age Readers,0.01,13,
266,2,Scholars' Hub @ Home,train,For Golden Age Readers,0.056,17,
267,2,Festival of Praise,gate,For Families,0.459,4,PAIR
268,2,THE NORTH | CANADA DAY FIESTA JULY 1ST | AUREA LOUNGE,gate,For Families,0.044,17,
269,2,Teen Chess Tournament,gate,For Families,0.454,34,
270,2,NEW: Why Do People Fall in Love with ChatGPT?,train,For Couples,0.1,10,
271,2,"Supply Chain Management Training — Vaughan, ON | 1 Day Workshop",train,For Golden Age Readers,0.033,6,
272,2,Mindful Moments: Watercolour Fruit (For Adults),gate,For Golden Age Readers,0.689,7,
273,2,Matinée francophone : L’histoire des Hurons-Wendats avec Dominic Ste-Marie,train,For Couples,0.003,55,
274,2,Hebrew Storytime / שעת סיפור בעברית,train,For Families,0.012,9,
275,2,BCDC ELECTIONS,gate,For Families,0.05,2,
276,2,Board Game Meet up (Ages 7-13 years),gate,For Golden Age Readers,0.06,38,PAIR
277,2,"Supply Chain Management Training — Markham, ON | 1 Day Workshop",gate,For Couples,0.029,5,
278,2,Small Towns and Big Secrets: In Conversation with Bestselling Author Karin Slaughter,train,For Golden Age Readers,0.047,26,
279,2,Death Café,train,For Couples,0.013,2,
280,2,Creative Age: Suminagashi,gate,For Golden Age Readers,0.537,14,PAIR
281,2,Glass Etching for Adults,train,For Families,0.013,6,
282,2,Argentina vs Cape Verde and Herzegovina | World Cup Watch Party,train,For Families,0.032,8,
283,2,Summer Medicine Walk – Season of the Wild Strawberry | Richmond Hill,gate,For Families,0.005,17,
284,2,Computer Cartoon Animation Camp (Age 6-11),gate,For Families,0.553,25,PAIR
285,2,EXCLUSIVE B-PULSE MASTER CLASS,train,For Golden Age Readers,0.036,3,
286,2,kalenjin cultural festival canada,train,For Couples,0.042,12,
287,2,"Conflict Management Training — Vaughan, ON | In-Person & Live Virtual",train,For Families,0.071,8,
288,2,Let's Cook Vadai,gate,For Families,0.159,8,PAIR
289,2,Luminis Richmond Hill Vocal Arts Festival Gala Concert,train,For Families,0.009,14,
290,2,"Risk Assessment and Management Training — Markham, ON | 1 Day Workshop",train,For Couples,0.029,5,
291,2,Vision Youth Charity Soccer Tournament 2026,train,For Families,0.01,6,
292,2,🌞❄️ GREAT TEXAS SNOWBALL FIGHT ❄️🌞,gate,For Couples,0.029,2,PAIR
293,2,Supporting Our Youth: Teen Stress & Anxiety,gate,For Golden Age Readers,0.121,28,
294,2,lululemon Summer Series | Yoga at Hillcrest Mall,gate,For Golden Age Readers,0.45,10,
295,2,Newmarket Islamic Centre Fundraising Dinner,train,For Couples,0.068,2,
296,2,Getting Submission Ready,train,For Couples,0.027,35,
297,2,How to Monogram a Towel with Brother Digital Embroidery Machine,gate,For Couples,0.215,25,
298,2,Toronto Backgammon Night,gate,For Couples,0.474,2,
299,2,Princess Shadow Box,gate,For Families,0.089,6,PAIR
300,2,MFM Promenade Presents Reminders of Him,train,For Couples,0.057,16,
301,2,Picnic 2026,train,For Families,0.011,2,
302,2,The Beginner Trader Experience,gate,For Golden Age Readers,0.223,4,
303,2,Global Running Day Social 5k,gate,For Golden Age Readers,0.229,9,PAIR
304,2,De-stressing The Downsizing Process,train,For Families,0.101,23,
305,2,"Brain, Behavior, & Mind 2026 Spring Conference",gate,For Couples,0.092,5,
306,2,Protect Burnt Church Cemetery: Attend the June 16 Hearing,gate,For Families,0.066,4,
307,2,Frog Watch | Cold Creek Conservation Area,gate,For Couples,0.112,7,PAIR
308,2,EPTECH Toronto 2026,train,For Couples,0.085,3,
309,2,Australia vs Egypt and Herzegovina | World Cup Watch Party,train,For Families,0.032,8,
310,2,Baby Adventures Storytime,gate,For Families,0.042,12,
311,2,MONDAYMONDAY!!! Steve-Oh Karaoke??! @ The...,train,For Golden Age Readers,0.02,0,
312,2,Conservation Youth Corps | Thornhill Garden Maintenance,gate,For Families,0.017,19,PAIR
313,2,"Clinic: Markham, ON",train,For Families,0.059,4,
314,2,The Ultimate Family Fun Zone at Richmond Hill Canada Day!,gate,For Families,0.899,11,
315,2,The Marshall Trophy,train,For Golden Age Readers,0.02,0,
316,2,Cracking Plant-based Eggs,gate,For Families,0.24,7,PAIR
317,2,SUCCESSion: The Business of Selling Your Business,gate,For Golden Age Readers,0.02,0,
318,2,STEAM Fair 🧪🎨⚙️,gate,For Golden Age Readers,0.116,8,PAIR
319,2,Sunday Morning Sweat Series I Pilates Edition,gate,For Couples,0.15,5,PAIR
320,2,Let’s Bake Butter Tarts!,gate,For Golden Age Readers,0.572,26,PAIR
321,2,Gospel Of Amapiano 2.0,gate,For Couples,0.585,5,
322,2,Thursday Nights at the Bandstand – ABBA Revisited,train,For Couples,0.01,4,
323,2,Gospel Music & The Pop Music of The 50s & 60s with Tom Locke,gate,For Couples,0.043,10,PAIR
324,2,Richmond Hill 4th of July Celebration,gate,For Families,0.095,5,PAIR
325,2,Situational Awareness 1 Day High Impact Training in Markham | Wisdom Hub,train,For Golden Age Readers,0.033,11,
326,2,Violences conjugales invisibilisées : contrôle coercitif et handicap,gate,For Couples,0.425,2,PAIR
327,2,Helen Snare Memorial Tournament,gate,For Families,0.008,8,PAIR
328,2,Cansel Subsurface Tech Expo 2026 - Toronto,gate,For Golden Age Readers,0.223,6,PAIR
329,2,Vaughan Pickleball Club Tournament,gate,For Couples,0.536,15,
330,2,Kirtan Fest - RadheShyam Mellows IV & ISKCON Stouffville,train,For Couples,0.051,5,
331,2,"Virtual Keynote: Megan Follows @ the LM. Montgomery Institute, 27 June 2026",gate,For Families,0.11,5,
332,2,Volunteers Needed - Thornhill Summer Camp,gate,For Families,0.778,17,
333,2,Downsizing & Decluttering,train,For Families,0.005,3,
334,2,"Richmond Hill Horticultural Society General Meeting ""Fascinating Canadian Flora""",train,For Golden Age Readers,0.04,53,
335,2,Loading Your Author Toolbox: The Top Five Skills Every Writer Must Have,train,For Golden Age Readers,0.072,6,
336,2,FREE Tropical Toucan Painting Workshop + Open House for Kids!,train,For Families,0.023,15,
337,2,Super Simple Songs,train,For Couples,0.041,5,
338,2,Let's Talk - Walk In Counselling Sessions,gate,For Golden Age Readers,0.194,30,PAIR
339,2,CARS 'N' ANIME FEST,gate,For Families,0.342,9,PAIR
340,2,ZONTIK.THE SOVIET HEIST,gate,For Families,0.134,5,
341,2,Theatre Workshop Sign-up Form,gate,For Golden Age Readers,0.533,7,PAIR
342,2,Bike Bonanza 2026!,gate,For Families,0.049,3,
343,2,"Building Professional Business Connections Training – Markham, ON | 1 Day",train,For Families,0.045,7,
